iter	Passed	Remaining
0	16	16860
1	30	15156
2	39	13115
3	47	11842
4	55	11119
5	62	10286
6	73	10379
7	82	10279
8	94	10414
9	101	10096
10	108	9781
11	114	9452
12	121	9259
13	139	9822
14	145	9525
15	152	9361
16	157	9106
17	162	8885
18	169	8730
19	174	8542
20	180	8399
21	187	8340
22	192	8196
23	199	8107
24	204	7980
25	210	7890
26	222	8022
27	228	7937
28	236	7907
29	282	9133
30	287	8988
31	293	8871
32	299	8781
33	304	8662
34	310	8573
35	317	8500
36	322	8400
37	329	8337
38	334	8244
39	339	8158
40	349	8179
41	357	8152
42	364	8110
43	369	8034
44	376	7983
45	381	7909
46	386	7840
47	393	7797
48	398	7733
49	403	7668
50	410	7629
51	415	7573
52	420	7515
53	429	7525
54	434	7472
55	443	7478
56	449	7433
57	458	7454
58	465	7420
59	471	7379
60	483	7438
61	491	7440
62	504	7498
63	510	7463
64	515	7416
65	522	7399
66	528	7353
67	533	7311
68	540	7298
69	546	7254
70	554	7249
71	560	7219
72	567	7202
73	572	7165
74	577	7127
75	584	7107
76	589	7071
77	595	7040
78	601	7017
79	607	6984
80	615	6985
81	622	6971
82	634	7010
83	644	7026
84	656	7068
85	663	7056
86	672	7052
87	678	7035
88	685	7017
89	691	6986
90	699	6985
91	705	6967
92	713	6958
93	719	6932
94	728	6943
95	739	6959
96	746	6951
97	752	6929
98	759	6912
99	765	6885
100	771	6864
101	778	6858
102	784	6833
103	791	6817
104	797	6796
105	803	6773
106	811	6769
107	817	6750
108	824	6735
109	832	6737
110	839	6720
111	847	6721
112	855	6714
113	865	6724
114	872	6717
115	878	6697
116	884	6676
117	892	6674
118	898	6655
119	906	6650
120	913	6634
121	920	6626
122	926	6606
123	932	6590
124	945	6617
125	957	6644
126	966	6644
127	980	6681
128	998	6743
129	1007	6745
130	1016	6741
131	1024	6739
132	1035	6753
133	1045	6757
134	1057	6778
135	1072	6813
136	1079	6799
137	1087	6793
138	1094	6778
139	1101	6763
140	1106	6740
141	1111	6717
142	1120	6714
143	1127	6700
144	1133	6684
145	1138	6661
146	1144	6640
147	1151	6628
148	1156	6607
149	1163	6591
150	1169	6573
151	1174	6552
152	1181	6541
153	1186	6519
154	1192	6498
155	1199	6488
156	1204	6467
157	1210	6450
158	1216	6432
159	1221	6413
160	1229	6408
161	1236	6396
162	1245	6396
163	1255	6397
164	1262	6388
165	1271	6386
166	1278	6377
167	1285	6364
168	1292	6357
169	1299	6342
170	1304	6325
171	1311	6315
172	1317	6298
173	1323	6283
174	1329	6267
175	1335	6250
176	1341	6239
177	1348	6225
178	1353	6208
179	1361	6204
180	1367	6186
181	1374	6177
182	1380	6161
183	1386	6147
184	1392	6135
